GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1,br.com.TP1.CalculoIMC,CalculoIMC,70,87,0,30,14,18,2,17,2,2
TP1,br.com.TP1,App,8,0,0,0,4,0,2,0,2,0
